ChannelName,TvgId,Url,m3u_source,Favourite,New,AddedOn,Country,CountrySource,GroupTitle,Source
90210,90210.us@SD,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/65a67dd13af63d0008257f17/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=1b1c5240-4b81-11ef-a8ac-e146e4e7be02&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=6e62cae5-9404-4e52-8b20-c5fc2b453e9d,iptv-org,0,0,20251012,US,inferred-tvgid,Series,iptv-org
:24,24.sk,https://sktv.plainrock127.xyz/get.php?x=STV24,Free-TV,0,0,20251114,Slovakia,Free-TV (group),Slovakia,Free-TV
:Dvojka,Dvojka.sk,https://sktv.plainrock127.xyz/get.php?x=STV2,Free-TV,0,0,20251114,Slovakia,Free-TV (group),Slovakia,Free-TV
:Jednotka,Jednotka.sk,https://sktv.plainrock127.xyz/get.php?x=STV1,Free-TV,0,0,20251114,Slovakia,Free-TV (group),Slovakia,Free-TV
:O,,https://sktv.plainrock127.xyz/get.php?x=STV-O,Free-TV,0,0,20251114,Slovakia,Free-TV (group),Slovakia,Free-TV
:Šport,Sport.sk,https://sktv.plainrock127.xyz/get.php?x=SPORT,Free-TV,0,0,20251114,Slovakia,Free-TV (group),Slovakia,Free-TV
&flix (1080p),Andflix.in@SD,https://playyonogames.in/z5/stream.m3u8?id=0-9-channel_2105335046,iptv-org,0,0,20251012,,,,iptv-org
#Riccanza – Pluto TV,,https://service-stitcher.clusters.pluto.tv/v1/stitch/embed/hls/channel/626baa721c279b00072cbedd/master.m3u8?deviceId=channel&deviceModel=web&deviceVersion=1.0&appVersion=1.0&deviceType=rokuChannel&deviceMake=rokuChannel&deviceDNT=1&advertisingId=channel&embedPartner=rokuChannel&appName=rokuchannel&is_lat=1&bmodel=bm1&content=channel&platform=web&tags=ROKU_CONTENT_TAGS&coppa=false&content_type=livefeed&rdid=channel&genre=ROKU_ADS_CONTENT_GENRE&content_rating=ROKU_ADS_CONTENT_RATING&studio_id=viacom&channel_id=channel,Free-TV,0,0,20251114,VOD Italy,Free-TV (group),VOD Italy,Free-TV
1-2-3 TV (270p),123tv.de,https://123tv-mx1.flex-cdn.net/index.m3u8,iptv-org,0,0,20251012,DE,inferred-tvgid,Shop,iptv-org
1+1 Marafon,1Plus1Marafon.ua,https://m3u8.ott.blue/watch/45/index.m3u8?geo=auto&token=94450098895765784220366841698509,Free-TV,0,0,20251114,Ukraine,Free-TV (group),Ukraine,Free-TV
1+1 Ukraina Ⓢ,1Plus1Ukraina.ua,http://212.79.122.11:5014/udp/239.255.6.49:1234,Free-TV,0,0,20251114,Ukraine,Free-TV (group),Ukraine,Free-TV
10 Bold Adelaide (1080p),10Bold.au@Sydney,https://dce3793146fef017.mediapackage.us-west-2.amazonaws.com/out/v1/55cdf73af7894775ba6de8f57482b66a/CMAF_HLS/index.m3u8,iptv-org,0,0,20251012,,,,iptv-org
10 Shake (480p),10Shake.au,http://44.32.200.212:5004/auto/v13,iptv-org,0,0,20251012,,,,iptv-org
100% Auto Moto TV (406p) [Not 24/7],100AutoMotoTV.bg,http://100automoto.tv:1935/bgtv1/autotv/playlist.m3u8,iptv-org,0,0,20251012,,,,iptv-org
111 Tv,,https://5db313b643fd8.streamlock.net/111/111/playlist.m3u8,Free-TV,0,0,20251114,Italy,Free-TV (group),Italy,Free-TV
111 TV (720p),111TV.it,https://5db313b643fd8.streamlock.net/111/111/playlist.m3u8,iptv-org,0,0,20251012,Italy,Free-TV (group),Italy,iptv-org
12 Tv Parma,12TVParma.it,https://5929b138b139d.streamlock.net/12TVParma/livestream/playlist.m3u8,Free-TV,0,0,20251114,Italy,Free-TV (group),Italy,Free-TV
13 Cultura,13C.cl,https://origin.dpsgo.com/ssai/event/GI-9cp_bT8KcerLpZwkuhw/master.m3u8,Free-TV,0,0,20251114,Chile,Free-TV (group),Chile,Free-TV
